n,degF,degG,degMAX,degOUT,tINITIALISE,tEVALUATE,tMULTIPLY,tCONSTRUCT,tRETURN,tTOTAL,CORRECTNESS
99999999999973,128,128,128,256,0,0,0,3,0,3,1
99999999999973,229,256,256,485,0,1,0,10,0,11,1
99999999999973,256,256,256,512,0,1,0,11,0,12,1
99999999999973,485,512,512,997,0,4,0,40,0,44,1
99999999999973,512,512,512,1024,0,4,0,43,0,47,1
99999999999973,997,1023,1023,2020,0,14,0,158,0,174,1
99999999999973,1023,1023,1023,2046,0,14,0,162,0,177,1
99999999999973,1023,1023,1023,2046,0,15,0,163,0,179,1
99999999999973,1023,1023,1023,2046,0,15,0,162,0,179,1
99999999999973,1023,1023,1023,2046,0,14,0,162,0,178,1
99999999999973,1023,1023,1023,2046,0,15,0,161,0,177,1
99999999999973,1023,1023,1023,2046,0,14,0,161,0,177,1
99999999999973,1023,1023,1023,2046,0,15,0,162,0,179,1
99999999999973,1023,1023,1023,2046,0,15,0,162,0,179,1
99999999999973,1023,1023,1023,2046,0,14,0,161,0,176,1
99999999999973,1023,1023,1023,2046,0,14,0,162,0,178,1
99999999999973,1023,1023,1023,2046,0,15,0,162,0,178,1
99999999999973,1023,1023,1023,2046,0,14,0,165,0,181,1
99999999999973,1023,1023,1023,2046,0,16,0,165,0,183,1
99999999999973,1023,1023,1023,2046,0,15,0,164,0,180,1
99999999999973,1023,1023,1023,2046,0,15,0,161,0,178,1
99999999999973,1023,1023,1023,2046,0,15,0,163,0,179,1
99999999999973,1023,1023,1023,2046,0,14,0,162,0,178,1
